#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Общая длина L (мм),Параметр:Заказной код:Материалы контактирующие со средой,Параметр:Заказной код:Тип корпуса,Параметр:Заказной код:Размер поплавка,Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Количество поплавков,Параметр:Заказной код:Размер и количество поплавков
,WLS-102-A-B-2-1-7-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-7-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-7-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-1-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-1-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-1-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-1-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-2-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-9-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-1-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-1-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-1-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-1-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-2-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-1-10-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-1-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-1-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-1-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-1-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-2-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-2-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-1-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-1-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-1-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-1-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-2-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-5-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-1-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-1-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-1-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-1-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-2-B-B-L=1000mm-l1=____mm __ON,NPT 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-2-B-B-L=2000mm-l1=____mm __ON,NPT 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-2-B-B-L=3000mm-l1=____mm __ON,NPT 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-B-2-3-8-2-B-B-L=4000mm-l1=____mm __ON,NPT 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-1-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-3-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-4-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-6-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-7-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-9-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-1-10-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-2-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-5-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-1-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-1-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-1-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-1-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-2-B-B-L=1000mm-l1=____mm __ON,ANSI 150# 1 1/2,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-2-B-B-L=2000mm-l1=____mm __ON,ANSI 150# 1 1/2,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-2-B-B-L=3000mm-l1=____mm __ON,ANSI 150# 1 1/2,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G-2-3-8-2-B-B-L=4000mm-l1=____mm __ON,ANSI 150# 1 1/2,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPDT (150V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-1-B-B-L=1000mm-l1=____mm __ON,Гост Py10 Dy40,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-1-B-B-L=2000mm-l1=____mm __ON,Гост Py10 Dy40,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-1-B-B-L=3000mm-l1=____mm __ON,Гост Py10 Dy40,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-1-B-B-L=4000mm-l1=____mm __ON,Гост Py10 Dy40,4000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-2-B-B-L=1000mm-l1=____mm __ON,Гост Py10 Dy40,1000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-2-B-B-L=2000mm-l1=____mm __ON,Гост Py10 Dy40,2000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-2-B-B-L=3000mm-l1=____mm __ON,Гост Py10 Dy40,3000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-1-2-B-B-L=4000mm-l1=____mm __ON,Гост Py10 Dy40,4000,SS316,HN (IP65),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-3-1-B-B-L=1000mm-l1=____mm __ON,Гост Py10 Dy40,1000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-3-1-B-B-L=2000mm-l1=____mm __ON,Гост Py10 Dy40,2000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
,WLS-102-A-G10-2-1-3-1-B-B-L=3000mm-l1=____mm __ON,Гост Py10 Dy40,3000,SS316,HP (IP67),B - Ø40x38 (SS316),SPST (230V AC/DC),один,один B (SS316)
